Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"VISIOLI, Francesco",X. Interests of close family members,,,NO INTEREST,,,2015-09-30,GMO_doi_016.pdf
"WAL, Jean-Michel",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,GMO_doi_017.pdf
"DAVIES, Sue",X. Interests of close family members,,,NO INTEREST,,,2015-09-07,MB_doi_000.pdf
"EGUILEOR, Inaki",X. Interests of close family members,,,NO INTEREST,,,2015-05-22,MB_doi_001.pdf
"FACELLI, Piergiuseppe",X. Interests of close family members,,,NO INTEREST,,,2015-09-02,MB_doi_002.pdf
"MICHAELIDOU-CANNA, Stella",X. Interests of close family members,,,NO INTEREST,,,2014-12-01,MB_doi_004.pdf
"MIKO, Ladislav",X. Interests of close family members,,,NO INTEREST,,,2015-03-16,MB_doi_005.pdf
"O'ROURKE, Raymond",X. Interests of close family members,,,NO INTEREST,,,2015-09-19,MB_doi_006.pdf
"PRATS MONNE, Xavier",X. Interests of close family members,,,NO INTEREST,,,2015-10-06,MB_doi_010.pdf
"ROATIS, Radu",X. Interests of close family members,,,NO INTEREST,,,2014-11-24,MB_doi_013.pdf
"RUPRICH, Jiri",X. Interests of close family members,,,NO INTEREST,,,2014-10-11,MB_doi_007.pdf
"SZEKACS, Andras",X. Interests of close family members,,,NO INTEREST,,,2015-08-13,MB_doi_008.pdf
"VAN GORCOM, Robert",X. Interests of close family members,,,NO INTEREST,,,2015-03-27,MB_doi_009.pdf
"VANHOORDE, Robert",X. Interests of close family members,,,NO INTEREST,,,2015-03-17,MB_doi_011.pdf
"VANTHEMSCHE, Piet",X. Interests of close family members,,,NO INTEREST,,,2014-12-08,MB_doi_012.pdf
"WIJASZKA, Tadeusz",X. Interests of close family members,,,NO INTEREST,,,2015-03-06,MB_doi_014.pdf
"WINTER, Michael",X. Interests of close family members,,,NO INTEREST,,,2015-05-28,MB_doi_015.pdf
"BRESSON, Jean-Louis",X. Interests of close family members,,,NO INTEREST,,,2015-10-26,NDA_doi_000.pdf
"BURLINGAME, Barbara",X. Interests of close family members,,,NO INTEREST,,,2015-05-05,NDA_doi_001.pdf
"DEAN, Tara",X. Interests of close family members,,,NO INTEREST,,,2015-11-23,NDA_doi_002.pdf
"HIRSCH-ERNST, Karen Ildico",X. Interests of close family members,,,NO INTEREST,,,2015-10-23,NDA_doi_005.pdf
"MANGELSDORF, Inge",X. Interests of close family members,,,NO INTEREST,,,2015-10-05,NDA_doi_006.pdf
"MCARDLE, Harry",X. Interests of close family members,,,NO INTEREST,,,2015-09-25,NDA_doi_007.pdf
"NASKA, Androniki",X. Interests of close family members,,,NO INTEREST,,,2015-07-23,NDA_doi_008.pdf
"NEUHÄUSER-BERTHOLD, Monika",X. Interests of close family members,,,NO INTEREST,,,2015-09-25,NDA_doi_009.pdf
"NOWICKA, Grazyna",X. Interests of close family members,,,NO INTEREST,,,2015-09-18,NDA_doi_010.pdf
"PENTIEVA, Kristina",X. Interests of close family members,,,NO INTEREST,,,2015-09-21,NDA_doi_011.pdf
