Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"NIERE, Bjoern",I. Economic interest,,,NO INTEREST,,,2015-08-17,PLH_doi_011.pdf
"PARNELL, Stephen",I. Economic interest,,,NO INTEREST,,,2015-11-16,PLH_doi_012.pdf
"POTTING, Roel",I. Economic interest,,,NO INTEREST,,,2015-07-15,PLH_doi_013.pdf
"RAFOSS, Trond",I. Economic interest,,-Name: SEAWEEDPRODUCTION AS,Company ownership (50%) Business area: Cultivation seaweed species (macro algae) in open sea in Norway,2014-10,now,2015-11-04,PLH_doi_014.pdf
"ROSSI, Vittorio",I. Economic interest,,,NO INTEREST,,,2015-11-11,PLH_doi_015.pdf
"UREK, Gregor",I. Economic interest,,,NO INTEREST,,,2015-07-10,PLH_doi_016.pdf
"VAN BRUGGEN, Ariena",I. Economic interest,,,NO INTEREST,,,2015-11-16,PLH_doi_017.pdf
"VAN DER WERF, Wopke",I. Economic interest,,Universal Marine A-Bulk Fund,I own a share (€5000) in a shipping fund (Universal Marine A-Bulk Fund). Investment. Private entity. Exploiting cargo ships ms Universal Antwerpen and Universal Amsterdam http://www.universalmarine.nl/en/fleet/bulk-carrier-22000-tdw Ships may be used for cargo of food and/or feed. The purpose of these investments is return on investment. I do not engage in any operational decisions.,2008-10,2015-05,2015-11-23,PLH_doi_018.pdf
"VAN DER WERF, Wopke",I. Economic interest,,"Bonacieux, Louis,","Investment Private Exploiting see ships I own shares (€15,000 per ship) in each of two ships operated by Briese Shipping Company Scheemda Netherlands. http://www.briese.nl/Briese_Fleet_Bonacieux.html",2009-12,now,2015-11-23,PLH_doi_018.pdf
"WEST, Jon",I. Economic interest,,,NO INTEREST,,,2015-11-16,PLH_doi_019.pdf
"WINTER, Stephan",I. Economic interest,,,NO INTEREST,,,2015-09-30,PLH_doi_020.pdf
"ADRIAANSE, Paulien",I. Economic interest,,,NO INTEREST,,,2015-04-28,PPR_doi_000.pdf
"BERNY, Philippe",I. Economic interest,,,NO INTEREST,,,2015-09-21,PPR_doi_001.pdf
"BROCK, Theodorus",I. Economic interest,,,NO INTEREST,,,2015-10-23,PPR_doi_002.pdf
"DUQUESNE, Sabine",I. Economic interest,,,NO INTEREST,,,2015-04-18,PPR_doi_003.pdf
"GRILLI, Sandro",I. Economic interest,,,NO INTEREST,,,2015-10-21,PPR_doi_004.pdf
"HERNANDEZ-JEREZ, Antonio F.",I. Economic interest,,,NO INTEREST,,,2015-04-21,PPR_doi_005.pdf
"HOUGAARD, Susanne",I. Economic interest,,,NO INTEREST,,,2015-04-21,PPR_doi_006.pdf
"KLEIN, Michael",I. Economic interest,,,NO INTEREST,,,2015-04-17,PPR_doi_007.pdf
"KUHL, Thomas",I. Economic interest,,,NO INTEREST,,,2015-05-06,PPR_doi_008.pdf
"LASKOWSKI, Ryszard",I. Economic interest,,,NO INTEREST,,,2015-04-20,PPR_doi_009.pdf
"MACHERA, Kyriaki",I. Economic interest,,,NO INTEREST,,,2015-09-29,PPR_doi_010.pdf
"OCKLEFORD, Colin",I. Economic interest,,,NO INTEREST,,,2015-10-15,PPR_doi_011.pdf
"PELKONEN, Olavi",I. Economic interest,,,NO INTEREST,,,2015-10-20,PPR_doi_012.pdf
"PIEPER, Silvia",I. Economic interest,,,NO INTEREST,,,2015-10-21,PPR_doi_013.pdf
"SMITH, Rob",I. Economic interest,,,NO INTEREST,,,2015-10-09,PPR_doi_014.pdf
"STEMMER, Michael",I. Economic interest,,,NO INTEREST,,,2015-04-17,PPR_doi_015.pdf
"SUNDH, Ingvar",I. Economic interest,,,NO INTEREST,,,2015-05-07,PPR_doi_016.pdf
"TEODOROVIC, Ivana",I. Economic interest,,,NO INTEREST,,,2015-04-21,PPR_doi_017.pdf
"TIKTAK, Aaldrik",I. Economic interest,,,NO INTEREST,,,2015-04-17,PPR_doi_018.pdf
"TOPPING, Chris J.",I. Economic interest,,,NO INTEREST,,,2015-09-17,PPR_doi_019.pdf
"WOLTERINK, Gerrit",I. Economic interest,,,NO INTEREST,,,2015-07-23,PPR_doi_020.pdf
"BENFORD, Diane",I. Economic interest,,,NO INTEREST,,,2015-10-08,SCOM_doi_000.pdf
"BROCK, Theodorus",I. Economic interest,,,NO INTEREST,,,2015-10-23,SCOM_doi_001.pdf
"CASACUBERTA, Josep",I. Economic interest,,,NO INTEREST,,,2015-09-29,SCOM_doi_002.pdf
"EDLER, Lutz",I. Economic interest,,,NO INTEREST,,,2015-07-04,SCOM_doi_003.pdf
"HALLDORSSON, Thorhallur Ingi",I. Economic interest,,,NO INTEREST,,,2015-04-16,SCOM_doi_004.pdf
